title,number,year,auther,experiment,NPs_type,Method,Crop,  NPs_size,Size_class,Concentration,Concentration_class,Performance_class,Performance,n1,mean1,sd1,n2,mean2,sd2,lnRR,vi
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,10,ClassA,shoot fresh weight,Biomass,3,18.17,0.693,3,31.52,5.438639536,0.550850383,0.010408884
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,20,ClassB,shoot fresh weight,Biomass,3,18.17,0.693,3,32.79,2.217025034,0.590351708,0.002008713
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,30,ClassB,shoot fresh weight,Biomass,3,18.17,0.693,3,27.38,3.533383647,0.410040937,0.006036165
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,40,ClassB,shoot fresh weight,Biomass,3,18.17,0.693,3,24.73,0.866025404,0.308245199,0.000893663
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,10,ClassA,shoot dry weight,Biomass,3,6.99,0.13856,3,11.45,0.311769145,0.493509174,0.000378113
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,20,ClassB,shoot dry weight,Biomass,3,6.99,0.13856,3,10.25,0.173205081,0.382797149,0.00022616
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,30,ClassB,shoot dry weight,Biomass,3,6.99,0.13856,3,9.14,1.732050808,0.268179829,0.012101349
"Potential Impacts of Carbon Tube and Silicon Oxide Nanoparticles on Growth, Yield and Antioxidant System of Soybean Plant",40,2020,Abdallah,Field,Si,Foliar,Soybean,50,ClassB,30,ClassB,shoot dry weight,Biomass,3,6.99,0.13856,3,9.06,0.433012702,0.259388564,0.000892397
"Effect of zinc and iron oxide nanoparticles on plant physiology, seed quality and microbial community structure in a rice-soil-microbial ecosystem",41,2022,Afzal,Field,Zn,Foliar,Rice,36,ClassB,25,ClassB,hundreds grams,Yield,3,3.67,0.259807621,3,4.2,0.190525589,0.134892863,0.002356456
"Effect of zinc and iron oxide nanoparticles on plant physiology, seed quality and microbial community structure in a rice-soil-microbial ecosystem",41,2022,Afzal,Field,Zn,Foliar,Rice,36,ClassB,100,ClassD,hundreds grams,Yield,3,3.67,0.259807621,3,3.54,0.155884573,-0.036064935,0.002316881
"Effect of zinc and iron oxide nanoparticles on plant physiology, seed quality and microbial community structure in a rice-soil-microbial ecosystem",41,2022,Afzal,Field,Zn,Foliar,Rice,36,ClassB,25,ClassB,plant height,Growth,3,31.43,0.311769145,3,36.69,0.259807621,0.154741388,4.95E-05
"Effect of zinc and iron oxide nanoparticles on plant physiology, seed quality and microbial community structure in a rice-soil-microbial ecosystem",41,2022,Afzal,Field,Zn,Foliar,Rice,36,ClassB,100,ClassD,plant height,Growth,3,31.43,0.311769145,3,32.4,0.294448637,0.030395572,6.03E-05
"Effect of zinc and iron oxide nanoparticles on plant physiology, seed quality and microbial community structure in a rice-soil-microbial ecosystem",41,2022,Afzal,Field,Zn,Foliar,Rice,36,ClassB,25,ClassB,chlorophyll,Photosynthetic Pigment,3,11.51,0.623538291,3,11.79,0.571576766,0.024035492,0.00176169
"Effect of zinc and iron oxide nanoparticles on plant physiology, seed quality and microbial community structure in a rice-soil-microbial ecosystem",41,2022,Afzal,Field,Zn,Foliar,Rice,36,ClassB,100,ClassD,chlorophyll,Photosynthetic Pigment,3,11.51,0.623538291,3,32.4,0.294448637,1.0349422,0.00100579
"Effect of zinc and iron oxide nanoparticles on plant physiology, seed quality and microbial community structure in a rice-soil-microbial ecosystem",41,2022,Afzal,Field,Fe,Foliar,Rice,36,ClassB,25,ClassB,hundreds grams,Yield,3,3.67,0.259807621,3,4.12,0.069282032,0.115661501,0.001764775
"Effect of zinc and iron oxide nanoparticles on plant physiology, seed quality and microbial community structure in a rice-soil-microbial ecosystem",41,2022,Afzal,Field,Fe,Foliar,Rice,36,ClassB,100,ClassD,hundreds grams,Yield,3,3.67,0.259807621,3,3.55,0.311769145,-0.033244059,0.004241433
"Effect of zinc and iron oxide nanoparticles on plant physiology, seed quality and microbial community structure in a rice-soil-microbial ecosystem",41,2022,Afzal,Field,Fe,Foliar,Rice,36,ClassB,25,ClassB,plant height,Growth,3,31.43,0.311769145,3,37.5,0.36373067,0.176578082,6.42E-05
"Effect of zinc and iron oxide nanoparticles on plant physiology, seed quality and microbial community structure in a rice-soil-microbial ecosystem",41,2022,Afzal,Field,Fe,Foliar,Rice,36,ClassB,100,ClassD,plant height,Growth,3,31.43,0.311769145,3,32.5,0.259807621,0.033477239,5.41E-05
"Effect of zinc and iron oxide nanoparticles on plant physiology, seed quality and microbial community structure in a rice-soil-microbial ecosystem",41,2022,Afzal,Field,Fe,Foliar,Rice,36,ClassB,25,ClassB,chlorophyll,Photosynthetic Pigment,3,11.51,0.623538291,3,11.7,0.606217783,0.016372619,0.001873139
"Effect of zinc and iron oxide nanoparticles on plant physiology, seed quality and microbial community structure in a rice-soil-microbial ecosystem",41,2022,Afzal,Field,Fe,Foliar,Rice,36,ClassB,100,ClassD,chlorophyll,Photosynthetic Pigment,3,11.51,0.623538291,3,8.11,0.34213,-0.350118355,0.001571485
Seaweed-Based Biogenic ZnO Nanoparticles for Improving Agro-morphological Characteristics of Rice,42,2020,Itroutwar,Field,Zn,Foliar,Rice,15,ClassA,5,ClassA,thousands grams,Yield,4,16.5,0.14,4,16.7,0.187,0.012048339,4.93E-05
Seaweed-Based Biogenic ZnO Nanoparticles for Improving Agro-morphological Characteristics of Rice,42,2020,Itroutwar,Field,Zn,Foliar,Rice,15,ClassA,10,ClassA,thousands grams,Yield,4,16.5,0.14,4,16.7,0.223,0.012048339,6.26E-05
Seaweed-Based Biogenic ZnO Nanoparticles for Improving Agro-morphological Characteristics of Rice,42,2020,Itroutwar,Field,Zn,Foliar,Rice,15,ClassA,25,ClassB,thousands grams,Yield,4,16.5,0.14,4,16.6,0.2133,0.006042314,5.93E-05
Seaweed-Based Biogenic ZnO Nanoparticles for Improving Agro-morphological Characteristics of Rice,42,2020,Itroutwar,Field,Zn,Foliar,Rice,15,ClassA,50,ClassC,thousands grams,Yield,4,16.5,0.14,4,16.7,0.1134,0.012048339,2.95E-05
"Characterization of synthesized zinc oxide nanoparticles and their effect on growth, productivity and zinc use efficiency of wheat and Field pea in the Indian Himalayan foothills",43,2023,Verma,Pot,Zn,Foliar,Wheat,30,ClassB,10,ClassA,grain yield/plant,Yield,3,2.12,0.415692194,3,2.14,0.467653718,0.00938974,0.02873437
"Characterization of synthesized zinc oxide nanoparticles and their effect on growth, productivity and zinc use efficiency of wheat and Field pea in the Indian Himalayan foothills",43,2023,Verma,Pot,Zn,Foliar,Wheat,30,ClassB,20,ClassB,grain yield/plant,Yield,3,2.12,0.415692194,3,2.51,0.53693575,0.168866664,0.028069675
"Characterization of synthesized zinc oxide nanoparticles and their effect on growth, productivity and zinc use efficiency of wheat and Field pea in the Indian Himalayan foothills",43,2023,Verma,Pot,Zn,Foliar,Wheat,30,ClassB,50,ClassC,grain yield/plant,Yield,3,2.12,0.415692194,3,2.53,0.606217783,0.176803214,0.031953882
"Characterization of synthesized zinc oxide nanoparticles and their effect on growth, productivity and zinc use efficiency of wheat and Field pea in the Indian Himalayan foothills",43,2023,Verma,Pot,Zn,Foliar,Wheat,30,ClassB,100,ClassD,grain yield/plant,Yield,3,2.12,0.415692194,3,2.3,0.675499815,0.081493034,0.041568312
"Characterization of synthesized zinc oxide nanoparticles and their effect on growth, productivity and zinc use efficiency of wheat and Field pea in the Indian Himalayan foothills",43,2023,Verma,Pot,Zn,Foliar,Wheat,30,ClassB,10,ClassA,plant height,Growth,3,42.33,2.217025034,3,54.33,2.857883832,0.249580506,0.001836708
"Characterization of synthesized zinc oxide nanoparticles and their effect on growth, productivity and zinc use efficiency of wheat and Field pea in the Indian Himalayan foothills",43,2023,Verma,Pot,Zn,Foliar,Wheat,30,ClassB,20,ClassB,plant height,Growth,3,42.33,2.217025034,3,62.33,3.706588728,0.386946796,0.002093154
"Characterization of synthesized zinc oxide nanoparticles and their effect on growth, productivity and zinc use efficiency of wheat and Field pea in the Indian Himalayan foothills",43,2023,Verma,Pot,Zn,Foliar,Wheat,30,ClassB,50,ClassC,plant height,Growth,3,42.33,2.217025034,3,65.5,4.243524479,0.436554088,0.002313476
"Characterization of synthesized zinc oxide nanoparticles and their effect on growth, productivity and zinc use efficiency of wheat and Field pea in the Indian Himalayan foothills",43,2023,Verma,Pot,Zn,Foliar,Wheat,30,ClassB,100,ClassD,plant height,Growth,3,42.33,2.217025034,3,52.33,3.533383647,0.212073766,0.002434077
"Characterization of synthesized zinc oxide nanoparticles and their effect on growth, productivity and zinc use efficiency of wheat and Field pea in the Indian Himalayan foothills",43,2023,Verma,Pot,Zn,Seed,Wheat,30,ClassB,10,ClassA,grain yield/plant,Yield,3,2.17,0.311769145,3,2.47,0.415692194,0.129490983,0.016321818
"Characterization of synthesized zinc oxide nanoparticles and their effect on growth, productivity and zinc use efficiency of wheat and Field pea in the Indian Himalayan foothills",43,2023,Verma,Pot,Zn,Seed,Wheat,30,ClassB,20,ClassB,grain yield/plant,Yield,3,2.17,0.311769145,3,2.66,0.502294734,0.203598955,0.018766506
"Characterization of synthesized zinc oxide nanoparticles and their effect on growth, productivity and zinc use efficiency of wheat and Field pea in the Indian Himalayan foothills",43,2023,Verma,Pot,Zn,Seed,Wheat,30,ClassB,50,ClassC,grain yield/plant,Yield,3,2.17,0.311769145,3,3.09,0.588897275,0.353443923,0.018987709
"Characterization of synthesized zinc oxide nanoparticles and their effect on growth, productivity and zinc use efficiency of wheat and Field pea in the Indian Himalayan foothills",43,2023,Verma,Pot,Zn,Seed,Wheat,30,ClassB,100,ClassD,grain yield/plant,Yield,3,2.17,0.311769145,3,2.44,0.727461339,0.117270872,0.03650972
"Characterization of synthesized zinc oxide nanoparticles and their effect on growth, productivity and zinc use efficiency of wheat and Field pea in the Indian Himalayan foothills",43,2023,Verma,Pot,Zn,Seed,Wheat,30,ClassB,10,ClassA,plant height,Growth,3,50.83,2.113101985,3,54.5,2.476832655,0.06971397,0.001264536
"Characterization of synthesized zinc oxide nanoparticles and their effect on growth, productivity and zinc use efficiency of wheat and Field pea in the Indian Himalayan foothills",43,2023,Verma,Pot,Zn,Seed,Wheat,30,ClassB,20,ClassB,plant height,Growth,3,50.83,2.113101985,3,60.67,3.568024664,0.17696261,0.001728962
"Characterization of synthesized zinc oxide nanoparticles and their effect on growth, productivity and zinc use efficiency of wheat and Field pea in the Indian Himalayan foothills",43,2023,Verma,Pot,Zn,Seed,Wheat,30,ClassB,50,ClassC,plant height,Growth,3,50.83,2.113101985,3,61.5,3.481422123,0.190550443,0.001644249
"Characterization of synthesized zinc oxide nanoparticles and their effect on growth, productivity and zinc use efficiency of wheat and Field pea in the Indian Himalayan foothills",43,2023,Verma,Pot,Zn,Seed,Wheat,30,ClassB,100,ClassD,plant height,Growth,3,50.83,2.113101985,3,45,2.546114687,-0.121824242,0.001643187
Synthesis and application of optimized ZnO nanoparticles for improving yield and Zn content of rice  grain,44,2023,"Akmal, M",Pot,Zn,Foliar,Rice,20,ClassA,20,ClassB,thousands grams,Yield,4,22.831858,0.353982301,4,26.28318584,0.17699115,0.140772572,7.14E-05
Synthesis and application of optimized ZnO nanoparticles for improving yield and Zn content of rice  grain,44,2023,"Akmal, M",Pot,Zn,Soil,Rice,20,ClassA,4,ClassA,thousands grams,Yield,4,22.831858,0.353982301,4,26.50442478,0.530973451,0.149154851,0.000160427
Synthesis and application of optimized ZnO nanoparticles for improving yield and Zn content of rice  grain,44,2023,"Akmal, M",Pot,Zn,Foliar,Rice,20,ClassA,20,ClassB,grain yield/plant,Yield,4,34.12294,1.28600823,4,39.21339163,1.071673525,0.139048426,0.000541809
Synthesis and application of optimized ZnO nanoparticles for improving yield and Zn content of rice  grain,44,2023,"Akmal, M",Pot,Zn,Soil,Rice,20,ClassA,4,ClassA,grain yield/plant,Yield,4,34.12294,1.28600823,4,37.23079561,2.143347051,0.087166372,0.00118364
Synthesis and application of optimized ZnO nanoparticles for improving yield and Zn content of rice  grain,44,2023,"Akmal, M",Pot,Zn,Foliar,Rice,20,ClassA,20,ClassB,root dry weight,Biomass,4,21.62162162,2.027027027,4,34.66216216,2.162162162,0.471954849,0.003170025
Synthesis and application of optimized ZnO nanoparticles for improving yield and Zn content of rice  grain,44,2023,"Akmal, M",Pot,Zn,Soil,Rice,20,ClassA,4,ClassA,root dry weight,Biomass,4,21.62162162,2.027027027,4,29.39189189,3.783783784,0.307025035,0.006340481
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,45,2022,Mazhar,Pot,Zn,Seed,Rice,30,ClassA,5,ClassA,thousands grams,Yield,3,23.31986961,0.715960155,3,24.14658919,0.357980078,0.034837366,0.000387462
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,45,2022,Mazhar,Pot,Zn,Seed,Rice,30,ClassA,10,ClassA,thousands grams,Yield,3,23.31986961,0.715960155,3,24.58947468,0.562540122,0.053012723,0.000488655
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,45,2022,Mazhar,Pot,Zn,Seed,Rice,30,ClassA,15,ClassA,thousands grams,Yield,3,23.31986961,0.715960155,3,23.7922808,0.4602601,0.020055422,0.000438941
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,45,2022,Mazhar,Pot,Zn,Seed,Rice,30,ClassA,25,ClassB,thousands grams,Yield,3,23.31986961,0.715960155,3,25.50477135,0.664820144,0.089559776,0.000540686
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,45,2022,Mazhar,Pot,Zn,Seed,Rice,30,ClassA,50,ClassC,thousands grams,Yield,3,23.31986961,0.715960155,3,24.82568027,0.357980078,0.062572842,0.000383508
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,45,2022,Mazhar,Pot,Zn,Seed,Rice,30,ClassA,5,ClassA,grain yield/plant,Yield,3,30.89574156,1.322564493,3,31.86490455,1.119093033,0.030886872,0.001021959
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,45,2022,Mazhar,Pot,Zn,Seed,Rice,30,ClassA,10,ClassA,grain yield/plant,Yield,3,30.89574156,1.322564493,3,32.92217327,1.017357303,0.06352803,0.000929132
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,45,2022,Mazhar,Pot,Zn,Seed,Rice,30,ClassA,15,ClassA,grain yield/plant,Yield,3,30.89574156,1.322564493,3,33.42143907,0.915621572,0.078579222,0.000861007
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,45,2022,Mazhar,Pot,Zn,Seed,Rice,30,ClassA,25,ClassB,grain yield/plant,Yield,3,30.89574156,1.322564493,3,35.0660793,1.169960898,0.126615901,0.000981885
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,45,2022,Mazhar,Pot,Zn,Seed,Rice,30,ClassA,50,ClassC,grain yield/plant,Yield,3,30.89574156,1.322564493,3,34.62555067,1.068225168,0.113973507,0.00092808
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,45,2022,Mazhar,Pot,Zn,Seed,Rice,30,ClassA,5,ClassA,plant height,Growth,3,65.44642857,2.319710903,3,69.28571429,2.010416116,0.057006818,0.000699418
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,45,2022,Mazhar,Pot,Zn,Seed,Rice,30,ClassA,10,ClassA,plant height,Growth,3,65.44642857,2.319710903,3,71.60714286,2.474358297,0.089962906,0.000816777
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,45,2022,Mazhar,Pot,Zn,Seed,Rice,30,ClassA,15,ClassA,plant height,Growth,3,65.44642857,2.319710903,3,73.125,2.783653084,0.110938382,0.000901802
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,45,2022,Mazhar,Pot,Zn,Seed,Rice,30,ClassA,25,ClassB,plant height,Growth,3,65.44642857,2.319710903,3,75.98214286,2.474358297,0.149266427,0.000772262
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,45,2022,Mazhar,Pot,Zn,Seed,Rice,30,ClassA,50,ClassC,plant height,Growth,3,65.44642857,2.319710903,3,73.75,1.855768722,0.119449072,0.000629827
