title,number,year,auther,experiment,NPs_type,Stress_type ,Stress_class,Method,Crops,  NPs_size,Size_class,Concentration,Concentration_class,Performance_class,Performance,n1,mean1,sd1,n2,mean2,sd2,lnRR,vi
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Drought,Abiotic,Seed,Rice,30,class A,5,ClassA,plant height,Growth,3,58.48214286,1.875,3,60.80357143,1.607142857,0.03892707,0.000575516
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Drought,Abiotic,Seed,Rice,30,class A,10,ClassA,plant height,Growth,3,58.48214286,1.875,3,62.67857143,1.339285714,0.069298168,0.000494828
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Drought,Abiotic,Seed,Rice,30,class A,15,ClassA,plant height,Growth,3,58.48214286,1.875,3,65.08928571,1.071428571,0.107038496,0.000432958
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Drought,Abiotic,Seed,Rice,30,class A,25,ClassB,plant height,Growth,3,58.48214286,1.875,3,66.69642857,1.875,0.131429949,0.000606074
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Drought,Abiotic,Seed,Rice,30,class A,50,ClassC,plant height,Growth,3,58.48214286,1.875,3,64.73214286,1.339285714,0.101536419,0.000485325
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Drought,Abiotic,Seed,Rice,30,class A,5,ClassA,plant fresh weight,Biomass,3,13.5,0.65,3,14.56666667,0.7,0.076046128,0.001542506
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Drought,Abiotic,Seed,Rice,30,class A,10,ClassA,plant fresh weight,Biomass,3,13.5,0.65,3,14.53333333,0.8,0.073755176,0.001782764
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Drought,Abiotic,Seed,Rice,30,class A,15,ClassA,plant fresh weight,Biomass,3,13.5,0.65,3,14.5,0.8,0.071458964,0.001787413
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Drought,Abiotic,Seed,Rice,30,class A,25,ClassB,plant fresh weight,Biomass,3,13.5,0.65,3,16.93333333,0.55,0.22659438,0.001124405
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Drought,Abiotic,Seed,Rice,30,class A,50,ClassC,plant fresh weight,Biomass,3,13.5,0.65,3,14.9,0.6,0.098671528,0.001313264
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Drought,Abiotic,Seed,Rice,30,class A,5,ClassA,plant dry weight,Biomass,3,3.221518987,0.123417722,3,3.632911392,0.189873418,0.12018138,0.001399766
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Drought,Abiotic,Seed,Rice,30,class A,10,ClassA,plant dry weight,Biomass,3,3.221518987,0.123417722,3,3.278481013,0.142405063,0.017527226,0.001118133
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Drought,Abiotic,Seed,Rice,30,class A,15,ClassA,plant dry weight,Biomass,3,3.221518987,0.123417722,3,3.107594937,0.142405063,-0.036003889,0.001189201
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Drought,Abiotic,Seed,Rice,30,class A,25,ClassB,plant dry weight,Biomass,3,3.221518987,0.123417722,3,3.481012658,0.151898734,0.077470262,0.00112394
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile ,1,2022,"Mazhar, Muhammad Waqas",Pot,Zn,Drought,Abiotic,Seed,Rice,30,class A,50,ClassC,plant dry weight,Biomass,3,3.221518987,0.123417722,3,2.879746835,0.161392405,-0.112150598,0.001536204
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Seed,Wheat,65,class C,100,ClassD,grain yield/plant,Yield,3,1.234042553,0.029787234,3,1.321276596,0.055319149,0.068302979,0.000778522
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Seed,Wheat,65,class C,200,ClassD,grain yield/plant,Yield,3,1.234042553,0.029787234,3,1.272340426,0.040425532,0.030562651,0.000530712
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Seed,Wheat,65,class C,100,ClassD,grain yield/plant,Yield,3,1.081196581,0.085470085,3,1.104700855,0.055555556,0.021506206,0.002926073
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Seed,Wheat,65,class C,200,ClassD,grain yield/plant,Yield,3,1.081196581,0.085470085,3,1.11965812,0.038461538,0.034955016,0.002476374
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Seed,Wheat,65,class C,100,ClassD,root length,Growth,3,7.366650839,0.148385565,3,7.633744856,0.375910098,0.03561536,0.000943543
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Seed,Wheat,65,class C,200,ClassD,root length,Growth,3,7.366650839,0.148385565,3,7.851377018,0.59354226,0.063725761,0.002040225
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Seed,Wheat,65,class C,100,ClassD,root length,Growth,3,6.347736626,0.237416904,3,6.545584046,0.544080405,0.030692318,0.002769374
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Seed,Wheat,65,class C,200,ClassD,root length,Growth,3,6.347736626,0.237416904,3,6.743431466,0.415479582,0.060470602,0.001731665
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Seed,Wheat,65,class C,100,ClassD,shoot length,Growth,3,59.26829268,3.902439024,3,61.13821138,2.601626016,0.031062592,0.002048719
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Seed,Wheat,65,class C,200,ClassD,shoot length,Growth,3,59.26829268,3.902439024,3,61.30081301,2.845528455,0.033718636,0.002163372
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Seed,Wheat,65,class C,100,ClassD,shoot length,Growth,3,64.95934959,3.008130081,3,66.99186992,3.739837398,0.030809584,0.001753626
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Seed,Wheat,65,class C,200,ClassD,shoot length,Growth,3,64.95934959,3.008130081,3,67.64227642,4.552845528,0.040471495,0.002224915
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Soil,Wheat,65,class C,2.5,ClassA,grain yield/plant,Yield,3,1.236318408,0.039800995,3,1.276119403,0.052238806,0.031685819,0.000904043
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Soil,Wheat,65,class C,5,ClassA,grain yield/plant,Yield,3,1.236318408,0.039800995,3,1.355721393,0.037313433,0.092195769,0.00059797
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Soil,Wheat,65,class C,10,ClassA,grain yield/plant,Yield,3,1.236318408,0.039800995,3,1.335820896,0.059701493,0.077408069,0.00101128
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Soil,Wheat,65,class C,2.5,ClassA,grain yield/plant,Yield,3,1.082089552,0.082089552,3,1.13681592,0.077114428,0.04933736,0.003452155
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Soil,Wheat,65,class C,5,ClassA,grain yield/plant,Yield,3,1.082089552,0.082089552,3,1.196517413,0.089552239,0.100521239,0.003785563
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Soil,Wheat,65,class C,10,ClassA,grain yield/plant,Yield,3,1.082089552,0.082089552,3,1.189054726,0.07960199,0.094264701,0.003412256
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Soil,Wheat,65,class C,2.5,ClassA,root length,Growth,3,7.272135417,0.217013889,3,8.230613426,0.198929398,0.123810569,0.000491566
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Soil,Wheat,65,class C,5,ClassA,root length,Growth,3,7.272135417,0.217013889,3,9.767795139,0.108506944,0.295040786,0.000337979
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Soil,Wheat,65,class C,10,ClassA,root length,Growth,3,7.272135417,0.217013889,3,8.57421875,0.126591435,0.164709903,0.000369506
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Soil,Wheat,65,class C,2.5,ClassA,root length,Growth,3,6.277488426,0.271267361,3,6.910445602,0.542534722,0.096064154,0.00267702
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Soil,Wheat,65,class C,5,ClassA,root length,Growth,3,6.277488426,0.271267361,3,8.176359954,0.361689815,0.26427709,0.001274722
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Soil,Wheat,65,class C,10,ClassA,root length,Growth,3,6.277488426,0.271267361,3,7.633825231,0.379774306,0.195619092,0.00144743
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Soil,Wheat,65,class C,2.5,ClassA,shoot length,Growth,3,58.93203883,3.980582524,3,64.27184466,4.27184466,0.086736765,0.002993333
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Soil,Wheat,65,class C,5,ClassA,shoot length,Growth,3,58.93203883,3.980582524,3,69.12621359,5.145631068,0.15954912,0.003367805
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Soil,Wheat,65,class C,10,ClassA,shoot length,Growth,3,58.93203883,3.980582524,3,65.33980583,3.786407767,0.103216539,0.00264017
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Soil,Wheat,65,class C,2.5,ClassA,shoot length,Growth,3,64.66019417,3.203883495,3,69.80582524,6.213592233,0.076571687,0.003459462
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Soil,Wheat,65,class C,5,ClassA,shoot length,Growth,3,64.66019417,3.203883495,3,74.66019417,2.718446602,0.143801299,0.001260304
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Soil,Wheat,65,class C,10,ClassA,shoot length,Growth,3,64.66019417,3.203883495,3,72.13592233,3.203883495,0.109406374,0.001475936
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Foliar,Wheat,65,class C,100,ClassD,grain yield/plant,Yield,3,1.239010989,0.038461538,3,1.291208791,0.049450549,0.041265355,0.000810114
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Foliar,Wheat,65,class C,100,ClassD,grain yield/plant,Yield,3,1.087912088,0.076923077,3,1.142857143,0.074175824,0.049271049,0.003070666
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Foliar,Wheat,65,class C,100,ClassD,root length,Growth,3,7.333333333,0.151515152,3,8.181818182,0.318181818,0.109484233,0.00064641
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Foliar,Wheat,65,class C,100,ClassD,root length,Growth,3,6.303030303,0.242424242,3,6.96969697,0.454545455,0.100541229,0.001910866
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Foliar,Wheat,65,class C,100,ClassD,shoot length,Growth,3,58.80239521,3.952095808,3,62.75449102,2.035928144,0.065047557,0.001856562
 Engineered zinc oxide nanoparticles: an alternative to conventional zinc sulphate in neutral and alkaline soils for sustainable wheat production,2,2021,"Singh, K",Field,Zn,Alkaline_soils,Abiotic,Foliar,Wheat,65,class C,100,ClassD,shoot length,Growth,3,64.5508982,3.233532934,3,68.86227545,2.994011976,0.06465447,0.001466548
Efficacy of ZnO nanoparticles in Zn fortification and partitioning of wheat and rice grains under salt stress,3,2023,"Mazhar, Z",Pot,Zn,Salt ,Abiotic,Soil,Rice,22,class A,7,ClassA,grain yield/plant,Yield,3,6.4,1.247076581,3,11.9,0.779422863,0.62024041,0.014086234
Efficacy of ZnO nanoparticles in Zn fortification and partitioning of wheat and rice grains under salt stress,3,2023,"Mazhar, Z",Pot,Zn,Salt ,Abiotic,Soil,Rice,22,class A,7,ClassA,chlorophyll,Photosynthetic Pigment,3,34.4,1.645448267,3,40.9,2.095781477,0.173073499,0.001637893
Efficacy of ZnO nanoparticles in Zn fortification and partitioning of wheat and rice grains under salt stress,3,2023,"Mazhar, Z",Pot,Zn,Salt ,Abiotic,Soil,Rice,22,class A,7,ClassA,shoot length,Growth,3,68,1.749371316,3,74.3,3.810511777,0.088603247,0.001097344
Efficacy of ZnO nanoparticles in Zn fortification and partitioning of wheat and rice grains under salt stress,3,2023,"Mazhar, Z",Pot,Zn,Salt ,Abiotic,Soil,Wheat,22,class A,7,ClassA,grain yield/plant,Yield,3,3.833333333,0.285,3,6.166666667,0.16,0.475423697,0.00206693
Efficacy of ZnO nanoparticles in Zn fortification and partitioning of wheat and rice grains under salt stress,3,2023,"Mazhar, Z",Pot,Zn,Salt ,Abiotic,Soil,Wheat,22,class A,7,ClassA,chlorophyll,Photosynthetic Pigment,3,39.6,2.563435195,3,47.6,1.039230485,0.184003643,0.001555683
Efficacy of ZnO nanoparticles in Zn fortification and partitioning of wheat and rice grains under salt stress,3,2023,"Mazhar, Z",Pot,Zn,Salt ,Abiotic,Soil,Wheat,22,class A,7,ClassA,plant height,Growth,3,75.3,0.81406388,3,78.2,1.454922678,0.037789513,0.000154343
Differential response of nano zinc sulphate with other conventional sources of Zn in mitigating salinity stress in rice grown on saline-sodic soil,4,2023,"Ahmed, R",Pot,Zn,Salt ,Abiotic,Foliar,Wheat,100,class C,5,ClassA,grain yield/plant,Yield,3,6.142857143,1.040816327,3,10.19387755,0.673469388,0.506497333,0.011024339
Differential response of nano zinc sulphate with other conventional sources of Zn in mitigating salinity stress in rice grown on saline-sodic soil,4,2023,"Ahmed, R",Pot,Zn,Salt ,Abiotic,Foliar,Wheat,100,class C,10,ClassA,grain yield/plant,Yield,3,6.142857143,1.040816327,3,12.28571429,0.346938776,0.693147181,0.009835248
Differential response of nano zinc sulphate with other conventional sources of Zn in mitigating salinity stress in rice grown on saline-sodic soil,4,2023,"Ahmed, R",Pot,Zn,Salt ,Abiotic,Foliar,Wheat,100,class C,5,ClassA,plant height,Growth,3,23.28789438,1.500342936,3,33.11156836,1.107395976,0.351949048,0.001756407
Differential response of nano zinc sulphate with other conventional sources of Zn in mitigating salinity stress in rice grown on saline-sodic soil,4,2023,"Ahmed, R",Pot,Zn,Salt ,Abiotic,Foliar,Wheat,100,class C,10,ClassA,plant height,Growth,3,23.28789438,1.500342936,3,39.14866255,1.500342936,0.519432589,0.001873147
Differential response of nano zinc sulphate with other conventional sources of Zn in mitigating salinity stress in rice grown on saline-sodic soil,4,2023,"Ahmed, R",Pot,Zn,Salt ,Abiotic,Foliar,Wheat,100,class C,5,ClassA,chlorophyll,Photosynthetic Pigment,3,24.42622951,1.049180328,3,42.36065574,0.885245902,0.550562466,0.00076056
Differential response of nano zinc sulphate with other conventional sources of Zn in mitigating salinity stress in rice grown on saline-sodic soil,4,2023,"Ahmed, R",Pot,Zn,Salt ,Abiotic,Foliar,Wheat,100,class C,10,ClassA,chlorophyll,Photosynthetic Pigment,3,24.42622951,1.049180328,3,46.59016393,1.540983607,0.64573191,0.000979646
Differential response of nano zinc sulphate with other conventional sources of Zn in mitigating salinity stress in rice grown on saline-sodic soil,4,2023,"Ahmed, R",Pot,Zn,Salt ,Abiotic,Foliar,Wheat,100,class C,5,ClassA,root length,Growth,3,6.345323741,0.460431655,3,13.76978417,0.460431655,0.774758516,0.002127795
Differential response of nano zinc sulphate with other conventional sources of Zn in mitigating salinity stress in rice grown on saline-sodic soil,4,2023,"Ahmed, R",Pot,Zn,Salt ,Abiotic,Foliar,Wheat,100,class C,10,ClassA,root length,Growth,3,6.345323741,0.460431655,3,16.64748201,0.877697842,0.964540851,0.002681655
Differential response of nano zinc sulphate with other conventional sources of Zn in mitigating salinity stress in rice grown on saline-sodic soil,4,2023,"Ahmed, R",Pot,Zn,Salt ,Abiotic,Foliar,Wheat,100,class C,5,ClassA,root dry weight,Biomass,3,3.417266187,0.417266187,3,6.669064748,0.273381295,0.668638762,0.005530025
Differential response of nano zinc sulphate with other conventional sources of Zn in mitigating salinity stress in rice grown on saline-sodic soil,4,2023,"Ahmed, R",Pot,Zn,Salt ,Abiotic,Foliar,Wheat,100,class C,10,ClassA,root dry weight,Biomass,3,3.417266187,0.417266187,3,7.474820144,0.604316547,0.782699187,0.007148643
Differential response of nano zinc sulphate with other conventional sources of Zn in mitigating salinity stress in rice grown on saline-sodic soil,4,2023,"Ahmed, R",Pot,Zn,Salt ,Abiotic,Foliar,Wheat,100,class C,5,ClassA,grain yield/plant,Yield,3,6.142857143,1.040816327,3,8.295918367,0.469387755,0.300473664,0.010636551
Differential response of nano zinc sulphate with other conventional sources of Zn in mitigating salinity stress in rice grown on saline-sodic soil,4,2023,"Ahmed, R",Pot,Zn,Salt ,Abiotic,Foliar,Wheat,100,class C,10,ClassA,grain yield/plant,Yield,3,6.142857143,1.040816327,3,8.908163265,0.193877551,0.37167811,0.009727322
Differential response of nano zinc sulphate with other conventional sources of Zn in mitigating salinity stress in rice grown on saline-sodic soil,4,2023,"Ahmed, R",Pot,Zn,Salt ,Abiotic,Foliar,Wheat,100,class C,5,ClassA,plant height,Growth,3,23.28789438,1.500342936,3,31.00394376,1.071673525,0.286180743,0.001781827
Differential response of nano zinc sulphate with other conventional sources of Zn in mitigating salinity stress in rice grown on saline-sodic soil,4,2023,"Ahmed, R",Pot,Zn,Salt ,Abiotic,Foliar,Wheat,100,class C,10,ClassA,plant height,Growth,3,23.28789438,1.500342936,3,32.14706219,1.25028578,0.322387397,0.001887778
Differential response of nano zinc sulphate with other conventional sources of Zn in mitigating salinity stress in rice grown on saline-sodic soil,4,2023,"Ahmed, R",Pot,Zn,Salt ,Abiotic,Foliar,Wheat,100,class C,5,ClassA,chlorophyll,Photosynthetic Pigment,3,24.42622951,1.049180328,3,36.95081967,1.573770492,0.413930296,0.00121965
Differential response of nano zinc sulphate with other conventional sources of Zn in mitigating salinity stress in rice grown on saline-sodic soil,4,2023,"Ahmed, R",Pot,Zn,Salt ,Abiotic,Foliar,Wheat,100,class C,10,ClassA,chlorophyll,Photosynthetic Pigment,3,24.42622951,1.049180328,3,39.44262295,1.442622951,0.479189498,0.001060903
Differential response of nano zinc sulphate with other conventional sources of Zn in mitigating salinity stress in rice grown on saline-sodic soil,4,2023,"Ahmed, R",Pot,Zn,Salt ,Abiotic,Foliar,Wheat,100,class C,5,ClassA,root length,Growth,3,6.345323741,0.460431655,3,10.89208633,0.618705036,0.540318378,0.002830632
Differential response of nano zinc sulphate with other conventional sources of Zn in mitigating salinity stress in rice grown on saline-sodic soil,4,2023,"Ahmed, R",Pot,Zn,Salt ,Abiotic,Foliar,Wheat,100,class C,10,ClassA,root length,Growth,3,6.345323741,0.460431655,3,12.82014388,0.35971223,0.703299552,0.002017522
Differential response of nano zinc sulphate with other conventional sources of Zn in mitigating salinity stress in rice grown on saline-sodic soil,4,2023,"Ahmed, R",Pot,Zn,Salt ,Abiotic,Foliar,Wheat,100,class C,5,ClassA,root dry weight,Biomass,3,3.417266187,0.417266187,3,5.539568345,0.647482014,0.483075711,0.009523786
Differential response of nano zinc sulphate with other conventional sources of Zn in mitigating salinity stress in rice grown on saline-sodic soil,4,2023,"Ahmed, R",Pot,Zn,Salt ,Abiotic,Foliar,Wheat,100,class C,10,ClassA,root dry weight,Biomass,3,3.417266187,0.417266187,3,6.18705036,0.71942446,0.593617585,0.009476839
Zinc and iron oxide nanoparticles improved the plant growth and reduced the oxidative stress and cadmium concentration in wheat,5,2019,"Rizwan, M",Pot,Zn,Heavy_Metal,Abiotic,Foliar,Wheat,30,class A,25,ClassB,grain yield/plant,Yield,4,2.57882883,0.09009009,4,3.231981983,0.09009009,0.225760212,0.000499353
