title,number,year,auther,experiment,NPs_type,Method,Crop,NPs_size,Size_class,Concentration,Concentration_class,Performance_class,Performance,n1,mean1,sd1,n2,mean2,sd2,lnRR,vi,Condition,pct_change,study_id,Stress_type,Stress_class
"Effect of zinc and iron oxide nanoparticles on plant physiology, seed quality and microbial community structure in a rice-soil-microbial ecosystem",41,2022,Afzal,Field,Fe,Foliar,Rice,36.0,ClassB,25.0,ClassB,hundreds grams,Yield,3,3.67,0.259807621,3,4.12,0.069282032,0.115661501,0.001764775,Non-stress,12.261580348359157,41,,
"Effect of zinc and iron oxide nanoparticles on plant physiology, seed quality and microbial community structure in a rice-soil-microbial ecosystem",41,2022,Afzal,Field,Fe,Foliar,Rice,36.0,ClassB,100.0,ClassD,hundreds grams,Yield,3,3.67,0.259807621,3,3.55,0.311769145,-0.033244059,0.004241433,Non-stress,-3.2697548091008666,41,,
Seaweed-Based Biogenic ZnO Nanoparticles for Improving Agro-morphological Characteristics of Rice,42,2020,Itroutwar,Field,Zn,Foliar,Rice,15.0,ClassA,5.0,ClassA,thousands grams,Yield,4,16.5,0.14,4,16.7,0.187,0.012048339,4.93e-05,Non-stress,1.2121212610902266,42,,
Seaweed-Based Biogenic ZnO Nanoparticles for Improving Agro-morphological Characteristics of Rice,42,2020,Itroutwar,Field,Zn,Foliar,Rice,15.0,ClassA,10.0,ClassA,thousands grams,Yield,4,16.5,0.14,4,16.7,0.223,0.012048339,6.26e-05,Non-stress,1.2121212610902266,42,,
Seaweed-Based Biogenic ZnO Nanoparticles for Improving Agro-morphological Characteristics of Rice,42,2020,Itroutwar,Field,Zn,Foliar,Rice,15.0,ClassA,25.0,ClassB,thousands grams,Yield,4,16.5,0.14,4,16.6,0.2133,0.006042314,5.93e-05,Non-stress,0.6060605601879931,42,,
Seaweed-Based Biogenic ZnO Nanoparticles for Improving Agro-morphological Characteristics of Rice,42,2020,Itroutwar,Field,Zn,Foliar,Rice,15.0,ClassA,50.0,ClassC,thousands grams,Yield,4,16.5,0.14,4,16.7,0.1134,0.012048339,2.95e-05,Non-stress,1.2121212610902266,42,,
"Characterization of synthesized zinc oxide nanoparticles and their effect on growth, productivity and zinc use efficiency of wheat and Field pea in the Indian Himalayan foothills",43,2023,Verma,Pot,Zn,Foliar,Wheat,30.0,ClassB,10.0,ClassA,grain yield/plant,Yield,3,2.12,0.415692194,3,2.14,0.467653718,0.00938974,0.02873437,Non-stress,0.9433961911011535,43,,
"Characterization of synthesized zinc oxide nanoparticles and their effect on growth, productivity and zinc use efficiency of wheat and Field pea in the Indian Himalayan foothills",43,2023,Verma,Pot,Zn,Foliar,Wheat,30.0,ClassB,20.0,ClassB,grain yield/plant,Yield,3,2.12,0.415692194,3,2.51,0.53693575,0.168866664,0.028069675,Non-stress,18.396226360659142,43,,
"Characterization of synthesized zinc oxide nanoparticles and their effect on growth, productivity and zinc use efficiency of wheat and Field pea in the Indian Himalayan foothills",43,2023,Verma,Pot,Zn,Foliar,Wheat,30.0,ClassB,50.0,ClassC,grain yield/plant,Yield,3,2.12,0.415692194,3,2.53,0.606217783,0.176803214,0.031953882,Non-stress,19.339622634885156,43,,
"Characterization of synthesized zinc oxide nanoparticles and their effect on growth, productivity and zinc use efficiency of wheat and Field pea in the Indian Himalayan foothills",43,2023,Verma,Pot,Zn,Foliar,Wheat,30.0,ClassB,100.0,ClassD,grain yield/plant,Yield,3,2.12,0.415692194,3,2.3,0.675499815,0.081493034,0.041568312,Non-stress,8.49056601048488,43,,
"Characterization of synthesized zinc oxide nanoparticles and their effect on growth, productivity and zinc use efficiency of wheat and Field pea in the Indian Himalayan foothills",43,2023,Verma,Pot,Zn,Seed,Wheat,30.0,ClassB,10.0,ClassA,grain yield/plant,Yield,3,2.17,0.311769145,3,2.47,0.415692194,0.129490983,0.016321818,Non-stress,13.824884782665038,43,,
"Characterization of synthesized zinc oxide nanoparticles and their effect on growth, productivity and zinc use efficiency of wheat and Field pea in the Indian Himalayan foothills",43,2023,Verma,Pot,Zn,Seed,Wheat,30.0,ClassB,20.0,ClassB,grain yield/plant,Yield,3,2.17,0.311769145,3,2.66,0.502294734,0.203598955,0.018766506,Non-stress,22.580645131719024,43,,
"Characterization of synthesized zinc oxide nanoparticles and their effect on growth, productivity and zinc use efficiency of wheat and Field pea in the Indian Himalayan foothills",43,2023,Verma,Pot,Zn,Seed,Wheat,30.0,ClassB,50.0,ClassC,grain yield/plant,Yield,3,2.17,0.311769145,3,3.09,0.588897275,0.353443923,0.018987709,Non-stress,42.3963133131791,43,,
"Characterization of synthesized zinc oxide nanoparticles and their effect on growth, productivity and zinc use efficiency of wheat and Field pea in the Indian Himalayan foothills",43,2023,Verma,Pot,Zn,Seed,Wheat,30.0,ClassB,100.0,ClassD,grain yield/plant,Yield,3,2.17,0.311769145,3,2.44,0.727461339,0.117270872,0.03650972,Non-stress,12.442396341166306,43,,
Synthesis and application of optimized ZnO nanoparticles for improving yield and Zn content of rice  grain,44,2023,"Akmal, M",Pot,Zn,Foliar,Rice,20.0,ClassA,20.0,ClassB,thousands grams,Yield,4,22.831858,0.353982301,4,26.28318584,0.17699115,0.140772572,7.14e-05,Non-stress,15.11628115554986,44,,
Synthesis and application of optimized ZnO nanoparticles for improving yield and Zn content of rice  grain,44,2023,"Akmal, M",Pot,Zn,Soil,Rice,20.0,ClassA,4.0,ClassA,thousands grams,Yield,4,22.831858,0.353982301,4,26.50442478,0.530973451,0.149154851,0.000160427,Non-stress,16.085273449864722,44,,
Synthesis and application of optimized ZnO nanoparticles for improving yield and Zn content of rice  grain,44,2023,"Akmal, M",Pot,Zn,Foliar,Rice,20.0,ClassA,20.0,ClassB,grain yield/plant,Yield,4,34.12294,1.28600823,4,39.21339163,1.071673525,0.139048426,0.000541809,Non-stress,14.91797488346862,44,,
Synthesis and application of optimized ZnO nanoparticles for improving yield and Zn content of rice  grain,44,2023,"Akmal, M",Pot,Zn,Soil,Rice,20.0,ClassA,4.0,ClassA,grain yield/plant,Yield,4,34.12294,1.28600823,4,37.23079561,2.143347051,0.087166372,0.00118364,Non-stress,9.107818947932822,44,,
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile,45,2022,Mazhar,Pot,Zn,Seed,Rice,30.0,ClassA,5.0,ClassA,thousands grams,Yield,3,23.31986961,0.715960155,3,24.14658919,0.357980078,0.034837366,0.000387462,Non-stress,3.5451295519136172,45,,
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile,45,2022,Mazhar,Pot,Zn,Seed,Rice,30.0,ClassA,10.0,ClassA,thousands grams,Yield,3,23.31986961,0.715960155,3,24.58947468,0.562540122,0.053012723,0.000488655,Non-stress,5.444306071307392,45,,
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile,45,2022,Mazhar,Pot,Zn,Seed,Rice,30.0,ClassA,15.0,ClassA,thousands grams,Yield,3,23.31986961,0.715960155,3,23.7922808,0.4602601,0.020055422,0.000438941,Non-stress,2.025788319227595,45,,
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile,45,2022,Mazhar,Pot,Zn,Seed,Rice,30.0,ClassA,25.0,ClassB,thousands grams,Yield,3,23.31986961,0.715960155,3,25.50477135,0.664820144,0.089559776,0.000540686,Non-stress,9.369270793372397,45,,
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile,45,2022,Mazhar,Pot,Zn,Seed,Rice,30.0,ClassA,50.0,ClassC,thousands grams,Yield,3,23.31986961,0.715960155,3,24.82568027,0.357980078,0.062572842,0.000383508,Non-stress,6.457200164738541,45,,
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile,45,2022,Mazhar,Pot,Zn,Seed,Rice,30.0,ClassA,5.0,ClassA,grain yield/plant,Yield,3,30.89574156,1.322564493,3,31.86490455,1.119093033,0.030886872,0.001021959,Non-stress,3.1368820594637192,45,,
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile,45,2022,Mazhar,Pot,Zn,Seed,Rice,30.0,ClassA,10.0,ClassA,grain yield/plant,Yield,3,30.89574156,1.322564493,3,32.92217327,1.017357303,0.06352803,0.000929132,Non-stress,6.558935385245257,45,,
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile,45,2022,Mazhar,Pot,Zn,Seed,Rice,30.0,ClassA,15.0,ClassA,grain yield/plant,Yield,3,30.89574156,1.322564493,3,33.42143907,0.915621572,0.078579222,0.000861007,Non-stress,8.174905009101629,45,,
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile,45,2022,Mazhar,Pot,Zn,Seed,Rice,30.0,ClassA,25.0,ClassB,grain yield/plant,Yield,3,30.89574156,1.322564493,3,35.0660793,1.169960898,0.126615901,0.000981885,Non-stress,13.498098898484656,45,,
Seed nano-priming with Zinc Oxide nanoparticles in rice mitigates drought and enhances agronomic profile,45,2022,Mazhar,Pot,Zn,Seed,Rice,30.0,ClassA,50.0,ClassC,grain yield/plant,Yield,3,30.89574156,1.322564493,3,34.62555067,1.068225168,0.113973507,0.00092808,Non-stress,12.072243319142117,45,,
Divergence in response of japonica and hybrid rice to titanium dioxide nanoparticles,46,2021,Xu,Pot,Ti,Soil,Rice,20.0,ClassA,200.0,ClassD,thousands grams,Yield,3,29.29,0.82,3,25.91,1.82,-0.122617166,0.001905957,Non-stress,-11.539774643624767,46,,
Divergence in response of japonica and hybrid rice to titanium dioxide nanoparticles,46,2021,Xu,Pot,Ti,Soil,Rice,20.0,ClassA,200.0,ClassD,thousands grams,Yield,3,25.96,0.25,3,26.28,0.48,0.012251302,0.000142115,Non-stress,1.232665661663801,46,,
Nickel Oxide Nanoparticles Improve Soybean Yield and Enhance Nitrogen Assimilation,47,2023,"Zhou, P",Pot,Ni,Soil,Soybean,40.0,ClassB,10.0,ClassA,hundreds grams,Yield,6,193.8888889,45.0,6,222.4074074,40.12345679,0.137225611,0.014402099,Non-stress,14.708691475497094,47,,
Nickel Oxide Nanoparticles Improve Soybean Yield and Enhance Nitrogen Assimilation,47,2023,"Zhou, P",Pot,Ni,Soil,Soybean,40.0,ClassB,50.0,ClassC,hundreds grams,Yield,6,193.8888889,45.0,6,247.0987654,23.91975309,0.242502859,0.010539543,Non-stress,27.44348927675677,47,,
Nickel Oxide Nanoparticles Improve Soybean Yield and Enhance Nitrogen Assimilation,47,2023,"Zhou, P",Pot,Ni,Soil,Soybean,40.0,ClassB,100.0,ClassD,hundreds grams,Yield,6,193.8888889,45.0,6,222.0216049,20.44753086,0.135489439,0.010391403,Non-stress,14.5097102400078,47,,
Nickel Oxide Nanoparticles Improve Soybean Yield and Enhance Nitrogen Assimilation,47,2023,"Zhou, P",Pot,Ni,Soil,Soybean,40.0,ClassB,200.0,ClassD,hundreds grams,Yield,6,193.8888889,45.0,6,164.9228395,24.30555556,-0.161807532,0.012597673,Non-stress,-14.939509698915831,47,,
Nickel Oxide Nanoparticles Improve Soybean Yield and Enhance Nitrogen Assimilation,47,2023,"Zhou, P",Pot,Ni,Soil,Soybean,40.0,ClassB,10.0,ClassA,grains yield,Yield,6,3.864814815,0.622222222,6,3.764814815,0.677777778,-0.026215093,0.009721758,Non-stress,-2.5874460511490005,47,,
Nickel Oxide Nanoparticles Improve Soybean Yield and Enhance Nitrogen Assimilation,47,2023,"Zhou, P",Pot,Ni,Soil,Soybean,40.0,ClassB,50.0,ClassC,grains yield,Yield,6,3.864814815,0.622222222,6,5.387037037,1.044444444,0.332081751,0.010584964,Non-stress,39.38667938591449,47,,
Nickel Oxide Nanoparticles Improve Soybean Yield and Enhance Nitrogen Assimilation,47,2023,"Zhou, P",Pot,Ni,Soil,Soybean,40.0,ClassB,100.0,ClassD,grains yield,Yield,6,3.864814815,0.622222222,6,3.62037037,0.177777778,-0.065337435,0.004721868,Non-stress,-6.324868263973594,47,,
Nickel Oxide Nanoparticles Improve Soybean Yield and Enhance Nitrogen Assimilation,47,2023,"Zhou, P",Pot,Ni,Soil,Soybean,40.0,ClassB,200.0,ClassD,grains yield,Yield,6,3.864814815,0.622222222,6,2.82037037,0.377777778,-0.315045554,0.007310249,Non-stress,-27.024436977611632,47,,
Efficacy of ZnO nanoparticles in Zn fortification and partitioning of wheat and rice grains under salt stress,48,2023,"Mazhar, Z",Pot,Zn,Soil,Wheat,22.0,ClassA,7.0,ClassA,grain yield/plant,Yield,3,15.5,0.917986928,3,25.5,1.004589468,0.497838428,0.001686538,Non-stress,64.51612899290917,48,,
Efficacy of ZnO nanoparticles in Zn fortification and partitioning of wheat and rice grains under salt stress,48,2023,"Mazhar, Z",Pot,Zn,Soil,Wheat,22.0,ClassA,7.0,ClassA,grain yield/plant,Yield,3,25.7,0.45033321,3,33.8,0.779422863,0.273969811,0.0002796,Non-stress,31.517509781838115,48,,
Transcriptomics and metabolomics reveal the mechanisms of enhanced constitutive resistance in rice by silica nanomaterials,49,2023,"Wang, Jing",Pot,Si,Foliar,Rice,8.0,ClassA,50.0,ClassC,hundreds grams,Yield,3,2.227483165,0.154540194,3,2.645070497,0.223590067,0.171825395,0.003986296,Non-stress,18.74704768290951,49,,
Transcriptomics and metabolomics reveal the mechanisms of enhanced constitutive resistance in rice by silica nanomaterials,49,2023,"Wang, Jing",Pot,Si,Foliar,Rice,8.0,ClassA,50.0,ClassC,grain yield/plant,Yield,3,26.71662125,2.452316076,3,35.51771117,1.076294278,0.284745588,0.003114553,Non-stress,32.94237637354593,49,,
"Effect of iron nanoparticles and conventional sources of Fe on growth, physiology and nutrient accumulation in wheat plants grown on normal and salt-affected soils",50,2023,"Zia-Ur-Rehman, M",Pot,Fe,Foliar,Wheat,100.0,ClassC,15.0,ClassA,grain yield/plant,Yield,3,7.829787234,0.226950355,3,10.78014184,0.170212766,0.319770387,0.000363156,Non-stress,37.68115941983805,50,,
"Effect of iron nanoparticles and conventional sources of Fe on growth, physiology and nutrient accumulation in wheat plants grown on normal and salt-affected soils",50,2023,"Zia-Ur-Rehman, M",Pot,Fe,Foliar,Wheat,100.0,ClassC,25.0,ClassB,grain yield/plant,Yield,3,7.829787234,0.226950355,3,13.91489362,0.836879433,0.575024414,0.001485768,Non-stress,77.71739143083502,50,,
Zinc oxide nanoparticles coated urea enhances nitrogen efficiency and zinc bioavailability in wheat in alkaline calcareous soils,51,2023,"S. Amin, T",Pot,Zn,Soil,Wheat,25.0,ClassA,2.8,ClassA,hundreds grams,Yield,3,1.43,0.034641016,3,1.81,0.034641016,0.235652401,0.000317705,Non-stress,26.573426572677448,51,,
Zinc oxide nanoparticles coated urea enhances nitrogen efficiency and zinc bioavailability in wheat in alkaline calcareous soils,51,2023,"S. Amin, T",Pot,Zn,Soil,Wheat,25.0,ClassA,5.7,ClassA,hundreds grams,Yield,3,1.43,0.034641016,3,1.71,0.034641016,0.178818926,0.000332403,Non-stress,19.580419551391117,51,,
Role of nanosilicab to boost the activities of metabolites in Triticum aestivum facing drought stress,52,2022,Akhtar,Pot,Si,Soil,Wheat,30.0,ClassA,150.0,ClassD,hundreds grams,Yield,3,3.31,0.0012,3,3.8,0.0029,0.138052877,2.38e-07,Non-stress,14.803625338223547,52,,
"EFFECT OF DIFFERENT RESOURCES AND METHODS OF SILICON AND ZINC APPLICATION ON AGRONOMIC TRAITS, NUTRIENT UPTAKE AND GRAIN YIELD OF RICE",54,2018,N. Kheyri,Field,Si,Foliar,Rice,30.0,ClassA,50.0,ClassC,grains yield,Yield,3,3.503,0.3503,3,4.031,0.4301,0.14039474,0.007128161,Non-stress,15.072794756602171,54,,
"EFFECT OF DIFFERENT RESOURCES AND METHODS OF SILICON AND ZINC APPLICATION ON AGRONOMIC TRAITS, NUTRIENT UPTAKE AND GRAIN YIELD OF RICE",54,2018,N. Kheyri,Field,Si,Foliar,Rice,30.0,ClassA,50.0,ClassC,thousands grams,Yield,3,25.33,2.533,3,25.67,2.567,0.013333531,0.006666667,Non-stress,1.342281892423336,54,,
"EFFECT OF DIFFERENT RESOURCES AND METHODS OF SILICON AND ZINC APPLICATION ON AGRONOMIC TRAITS, NUTRIENT UPTAKE AND GRAIN YIELD OF RICE",54,2018,N. Kheyri,Field,Zn,Foliar,Rice,30.0,ClassA,50.0,ClassC,grains yield,Yield,3,3.503,0.3503,3,4.133,0.4133,0.165383791,0.006666667,Non-stress,17.984584604659524,54,,
"EFFECT OF DIFFERENT RESOURCES AND METHODS OF SILICON AND ZINC APPLICATION ON AGRONOMIC TRAITS, NUTRIENT UPTAKE AND GRAIN YIELD OF RICE",54,2018,N. Kheyri,Field,Zn,Foliar,Rice,30.0,ClassA,50.0,ClassC,thousands grams,Yield,3,25.33,2.533,3,25.73,2.573,0.015668162,0.006666667,Non-stress,1.5791551235445178,54,,
"Effect of Silica, Bio-Organic Fertilizers, and Spraying of Nano-Titanium and Nano-Cobalt on the Growth and Yield of Rice",55,2022,Ameer Eamad Neamah AL-Sultanei,Field,Ti,Foliar,Rice,20.0,ClassA,100.0,ClassD,grains yield,Yield,3,2.97,0.297,3,3.48,0.348,0.158470341,0.006666667,Non-stress,17.17171717502437,55,,
"Effect of Silica, Bio-Organic Fertilizers, and Spraying of Nano-Titanium and Nano-Cobalt on the Growth and Yield of Rice",55,2022,Ameer Eamad Neamah AL-Sultanei,Field,Ti,Foliar,Rice,20.0,ClassA,100.0,ClassD,thousands grams,Yield,3,19.4,1.94,3,19.7,1.97,0.01534557,0.006666667,Non-stress,1.546391785614376,55,,
"Effect of Silica, Bio-Organic Fertilizers, and Spraying of Nano-Titanium and Nano-Cobalt on the Growth and Yield of Rice",55,2022,Ameer Eamad Neamah AL-Sultanei,Field,Co,Foliar,Rice,20.0,ClassA,100.0,ClassD,grains yield,Yield,3,2.97,0.297,3,3.72,0.372,0.225161715,0.006666667,Non-stress,25.252525193600594,55,,
"Effect of Silica, Bio-Organic Fertilizers, and Spraying of Nano-Titanium and Nano-Cobalt on the Growth and Yield of Rice",55,2022,Ameer Eamad Neamah AL-Sultanei,Field,Co,Foliar,Rice,20.0,ClassA,100.0,ClassD,thousands grams,Yield,3,19.4,1.94,3,20.5,2.05,0.05515182,0.006666667,Non-stress,5.670103084849787,55,,
Biochar and Selenium Nanoparticles Induce Water Transporter Genes for Sustaining Carbon Assimilation and Grain Production in Salt-Stressed Wheat,56,2023,Soliman,Pot,Se,Foliar,Wheat,80.0,ClassC,30.0,ClassB,grain yield/plant,Yield,3,6.266519825,0.168775,3,9.779735683,1.2893,0.445091309,0.006035178,Non-stress,56.06326891373197,56,,
"Effects of nano-molybdenum fertilizers on mo-inefficient 
winter wheat grown in acidic soil",57,2024,Muhamad Syaifudin,Pot,Mo,Foliar,Wheat,99.0,ClassC,500.0,ClassE,thousands grams,Yield,4,25.33,0.2,4,30.33,3.64,0.180147858,0.003616377,Non-stress,19.739439437410766,57,,
"Exogenous application of nano-silicon, potassium sulfate, or 
proline enhances physiological parameters, antioxidant enzyme 
activities, and agronomic traits of diverse rice genotypes under 
water deficit conditions",59,2024,Mohamed S. Abd-El-Aty,Field,Si,Foliar,Rice,30.0,ClassA,400.0,ClassE,thousands grams,Yield,3,36.875,4.114583333,3,37.29166667,3.90625,0.011236073,0.007807598,Non-stress,1.1299434758306637,59,,
"Exogenous application of nano-silicon, potassium sulfate, or 
proline enhances physiological parameters, antioxidant enzyme 
activities, and agronomic traits of diverse rice genotypes under 
water deficit conditions",59,2024,Mohamed S. Abd-El-Aty,Field,Si,Foliar,Rice,30.0,ClassA,400.0,ClassE,grain yield/plant,Yield,3,8.0,1.122807018,3,8.298245614,1.070175439,0.036602579,0.012110032,Non-stress,3.7280701777676173,59,,
"Exogenous application of nano-silicon, potassium sulfate, or 
proline enhances physiological parameters, antioxidant enzyme 
activities, and agronomic traits of diverse rice genotypes under 
water deficit conditions",59,2024,Mohamed S. Abd-El-Aty,Field,Si,Foliar,Rice,30.0,ClassA,400.0,ClassE,thousands grams,Yield,3,23.17708333,4.21875,3,24.27083333,4.0625,0.046111352,0.020382969,Non-stress,4.719101127846503,59,,
"Exogenous application of nano-silicon, potassium sulfate, or 
proline enhances physiological parameters, antioxidant enzyme 
activities, and agronomic traits of diverse rice genotypes under 
water deficit conditions",59,2024,Mohamed S. Abd-El-Aty,Field,Si,Foliar,Rice,30.0,ClassA,400.0,ClassE,grain yield/plant,Yield,3,11.24561404,1.105263158,3,11.8245614,1.122807018,0.050200653,0.006225425,Non-stress,5.148205823968288,59,,
"Exogenous application of nano-silicon, potassium sulfate, or 
proline enhances physiological parameters, antioxidant enzyme 
activities, and agronomic traits of diverse rice genotypes under 
water deficit conditions",59,2024,Mohamed S. Abd-El-Aty,Field,Si,Foliar,Rice,30.0,ClassA,400.0,ClassE,thousands grams,Yield,3,25.15625,4.21875,3,25.36458333,3.90625,0.008247469,0.017280393,Non-stress,0.828157306538646,59,,
"Exogenous application of nano-silicon, potassium sulfate, or 
proline enhances physiological parameters, antioxidant enzyme 
activities, and agronomic traits of diverse rice genotypes under 
water deficit conditions",59,2024,Mohamed S. Abd-El-Aty,Field,Si,Foliar,Rice,30.0,ClassA,400.0,ClassE,grain yield/plant,Yield,3,9.842105263,1.140350877,3,10.15789474,1.122807018,0.031581572,0.008547555,Non-stress,3.2085561445413413,59,,
Modulations of wheat growth by selenium nanoparticles under salinity stress,60,2024,Sara Zafar,Pot,Se,Foliar,Wheat,37.0,ClassB,100.0,ClassD,thousands grams,Yield,3,31.2345679,3.703703704,3,34.07407407,0.987654321,0.087011377,0.004966894,Non-stress,9.0909090920404,60,,
Modulations of wheat growth by selenium nanoparticles under salinity stress,60,2024,Sara Zafar,Pot,Se,Foliar,Wheat,37.0,ClassB,10.0,ClassA,thousands grams,Yield,3,31.2345679,3.703703704,3,37.77777778,1.358024691,0.190195613,0.005117587,Non-stress,20.94861657359395,60,,
Modulations of wheat growth by selenium nanoparticles under salinity stress,60,2024,Sara Zafar,Pot,Se,Foliar,Wheat,37.0,ClassB,50.0,ClassC,thousands grams,Yield,3,31.2345679,3.703703704,3,39.38271605,0.49382716,0.231801614,0.004739251,Non-stress,26.08695651451127,60,,
"Plant Nanobionic Effect of Multi-walled Carbon Nanotubes
on Growth, Anatomy, Yield and Grain Composition of Rice",61,2020,Anjali Joshi,Pot,C,Seed,Rice,10.0,ClassA,70.0,ClassC,hundreds grams,Yield,5,2.243243243,0.121621622,5,2.355855856,0.108108108,0.048981387,0.001009056,Non-stress,5.020080317055986,61,,
"Plant Nanobionic Effect of Multi-walled Carbon Nanotubes
on Growth, Anatomy, Yield and Grain Composition of Rice",61,2020,Anjali Joshi,Pot,C,Seed,Rice,10.0,ClassA,80.0,ClassC,hundreds grams,Yield,5,2.243243243,0.121621622,5,2.427927928,0.130630631,0.079115494,0.001166854,Non-stress,8.232931739425386,61,,
"Plant Nanobionic Effect of Multi-walled Carbon Nanotubes
on Growth, Anatomy, Yield and Grain Composition of Rice",61,2020,Anjali Joshi,Pot,C,Seed,Rice,10.0,ClassA,90.0,ClassC,hundreds grams,Yield,5,2.243243243,0.121621622,5,2.472972973,0.121621622,0.097498365,0.001071635,Non-stress,10.240963912209256,61,,
"Effect of Foliar Spray Application of Zinc Oxide 
Nanoparticles on Quantitative, Nutritional, and 
Physiological Parameters of Foxtail Millet (Setaria 
italica L.) under Field Conditions",62,2019,Marek Kolen?¨ªk,Field,Zn,Foliar,Rice,40.0,ClassB,2.6,ClassA,thousands grams,Yield,3,5.37,0.89,3,5.19,0.51,-0.034094211,0.012374822,Non-stress,-3.351955274114604,62,,
