title,number,year,auther,experiment,NPs_type,Method,Crop,NPs_size,Size_class,Concentration,Concentration_class,Performance_class,Performance,n1,mean1,sd1,n2,mean2,sd2,lnRR,vi,Condition,pct_change,study_id,Stress_type,Stress_class
Efficacy of ZnO nanoparticles in Zn fortification and partitioning of wheat and rice grains under salt stress,3,2023,"Mazhar, Z",Pot,Zn,Soil,Rice,22.0,class A,7.0,ClassA,grain yield/plant,Yield,3,6.4,1.247076581,3,11.9,0.779422863,0.62024041,0.014086234,Stress,85.93750004613898,3,Salt,Abiotic
Efficacy of ZnO nanoparticles in Zn fortification and partitioning of wheat and rice grains under salt stress,3,2023,"Mazhar, Z",Pot,Zn,Soil,Wheat,22.0,class A,7.0,ClassA,grain yield/plant,Yield,3,3.833333333,0.285,3,6.166666667,0.16,0.475423697,0.00206693,Stress,60.86956526322711,3,Salt,Abiotic
Differential response of nano zinc sulphate with other conventional sources of Zn in mitigating salinity stress in rice grown on saline-sodic soil,4,2023,"Ahmed, R",Pot,Zn,Foliar,Wheat,100.0,class C,5.0,ClassA,grain yield/plant,Yield,3,6.142857143,1.040816327,3,10.19387755,0.673469388,0.506497333,0.011024339,Stress,65.94684379744307,4,Salt,Abiotic
Differential response of nano zinc sulphate with other conventional sources of Zn in mitigating salinity stress in rice grown on saline-sodic soil,4,2023,"Ahmed, R",Pot,Zn,Foliar,Wheat,100.0,class C,10.0,ClassA,grain yield/plant,Yield,3,6.142857143,1.040816327,3,12.28571429,0.346938776,0.693147181,0.009835248,Stress,100.00000008801094,4,Salt,Abiotic
Differential response of nano zinc sulphate with other conventional sources of Zn in mitigating salinity stress in rice grown on saline-sodic soil,4,2023,"Ahmed, R",Pot,Zn,Foliar,Wheat,100.0,class C,5.0,ClassA,grain yield/plant,Yield,3,6.142857143,1.040816327,3,8.295918367,0.469387755,0.300473664,0.010636551,Stress,35.04983385476768,4,Salt,Abiotic
Differential response of nano zinc sulphate with other conventional sources of Zn in mitigating salinity stress in rice grown on saline-sodic soil,4,2023,"Ahmed, R",Pot,Zn,Foliar,Wheat,100.0,class C,10.0,ClassA,grain yield/plant,Yield,3,6.142857143,1.040816327,3,8.908163265,0.193877551,0.37167811,0.009727322,Stress,45.01661121870897,4,Salt,Abiotic
Zinc and iron oxide nanoparticles improved the plant growth and reduced the oxidative stress and cadmium concentration in wheat,5,2019,"Rizwan, M",Pot,Zn,Foliar,Wheat,30.0,class A,25.0,ClassB,grain yield/plant,Yield,4,2.57882883,0.09009009,4,3.231981983,0.09009009,0.225760212,0.000499353,Stress,25.327510891290615,5,Heavy_Metal,Abiotic
Zinc and iron oxide nanoparticles improved the plant growth and reduced the oxidative stress and cadmium concentration in wheat,5,2019,"Rizwan, M",Pot,Zn,Foliar,Wheat,30.0,class A,50.0,ClassC,grain yield/plant,Yield,4,2.57882883,0.09009009,4,3.704954955,0.140765766,0.362335747,0.000665989,Stress,43.66812224040939,5,Heavy_Metal,Abiotic
Zinc and iron oxide nanoparticles improved the plant growth and reduced the oxidative stress and cadmium concentration in wheat,5,2019,"Rizwan, M",Pot,Zn,Foliar,Wheat,30.0,class A,75.0,ClassC,grain yield/plant,Yield,4,2.57882883,0.09009009,4,4.042792793,0.129504505,0.449600385,0.00056164,Stress,56.76855896230564,5,Heavy_Metal,Abiotic
Zinc and iron oxide nanoparticles improved the plant growth and reduced the oxidative stress and cadmium concentration in wheat,5,2019,"Rizwan, M",Pot,Zn,Foliar,Wheat,30.0,class A,100.0,ClassD,grain yield/plant,Yield,4,2.57882883,0.09009009,4,4.493243243,0.067567568,0.555239413,0.000361637,Stress,74.23580780178432,5,Heavy_Metal,Abiotic
Zinc and iron oxide nanoparticles improved the plant growth and reduced the oxidative stress and cadmium concentration in wheat,5,2019,"Rizwan, M",Pot,Fe,Foliar,Wheat,100.0,class C,5.0,ClassA,grain yield/plant,Yield,4,2.567567568,0.140765766,4,3.254504505,0.045045045,0.237081059,0.000799325,Stress,26.754385944886174,5,Heavy_Metal,Abiotic
Zinc and iron oxide nanoparticles improved the plant growth and reduced the oxidative stress and cadmium concentration in wheat,5,2019,"Rizwan, M",Pot,Fe,Foliar,Wheat,100.0,class C,10.0,ClassA,grain yield/plant,Yield,4,2.567567568,0.140765766,4,3.710585585,0.073198198,0.368230725,0.00084872,Stress,44.517543861365816,5,Heavy_Metal,Abiotic
Zinc and iron oxide nanoparticles improved the plant growth and reduced the oxidative stress and cadmium concentration in wheat,5,2019,"Rizwan, M",Pot,Fe,Foliar,Wheat,100.0,class C,15.0,ClassA,grain yield/plant,Yield,4,2.567567568,0.140765766,4,3.969594595,0.208333333,0.435704993,0.00144003,Stress,54.60526311184053,5,Heavy_Metal,Abiotic
Zinc and iron oxide nanoparticles improved the plant growth and reduced the oxidative stress and cadmium concentration in wheat,5,2019,"Rizwan, M",Pot,Fe,Foliar,Wheat,100.0,class C,20.0,Class B,grain yield/plant,Yield,4,2.567567568,0.140765766,4,4.403153153,0.078828829,0.539361931,0.000831561,Stress,71.49122806487208,5,Heavy_Metal,Abiotic
Combined use of different nanoparticles effectively decreased cadmium (Cd) concentration in grains of wheat grown in a field contaminated with Cd,6,2021,"Hussain, A",Field,Zn,Foliar,Wheat,30.0,class A,25.0,ClassB,thousands grams,Yield,4,22.15827338,0.431654676,4,25.63829787,1.524822695,0.145876301,0.000979174,Stress,15.705305289255111,6,Heavy_Metal,Abiotic
Combined use of different nanoparticles effectively decreased cadmium (Cd) concentration in grains of wheat grown in a field contaminated with Cd,6,2021,"Hussain, A",Field,Zn,Foliar,Wheat,30.0,class A,25.0,ClassB,grains yield,Yield,4,2.86875,0.15,4,3.604863222,0.121580547,0.228407434,0.000967872,Stress,25.65972015716167,6,Heavy_Metal,Abiotic
Combined use of different nanoparticles effectively decreased cadmium (Cd) concentration in grains of wheat grown in a field contaminated with Cd,6,2021,"Hussain, A",Field,Si,Foliar,Wheat,50.0,class B,300.0,ClassE,thousands grams,Yield,4,22.15827338,0.431654676,4,23.23741007,0.647482014,0.04755254,0.00028897,Stress,4.870129844008608,6,Heavy_Metal,Abiotic
Combined use of different nanoparticles effectively decreased cadmium (Cd) concentration in grains of wheat grown in a field contaminated with Cd,6,2021,"Hussain, A",Field,Si,Foliar,Wheat,50.0,class B,300.0,ClassE,grains yield,Yield,4,2.86878,0.15,4,3.0875,0.16875,0.07347485,0.0014303,Stress,7.624146885857375,6,Heavy_Metal,Abiotic
Combined use of different nanoparticles effectively decreased cadmium (Cd) concentration in grains of wheat grown in a field contaminated with Cd,6,2021,"Hussain, A",Field,Fe,Foliar,Wheat,100.0,class C,5.0,ClassA,thousands grams,Yield,4,22.15827338,0.4317,4,24.4245,0.6475,0.097375784,0.000270591,Stress,10.227451292824053,6,Heavy_Metal,Abiotic
Combined use of different nanoparticles effectively decreased cadmium (Cd) concentration in grains of wheat grown in a field contaminated with Cd,6,2021,"Hussain, A",Field,Fe,Foliar,Wheat,100.0,class C,5.0,ClassA,grains yield,Yield,4,2.86875,0.15,4,3.2125,0.125,0.113173055,0.001062005,Stress,11.982570761909649,6,Heavy_Metal,Abiotic
Unraveling the effects of zinc sulfate nanoparticles and potassium fertilizers on quality of maize and associated health risks in Cd contaminated soils under different moisture regimes,7,2023,"Umair, M.",Pot,Zn,Foliar,Maize,20.0,class A,5.0,ClassA,hundreds grams,Yield,3,19.2,0.6,3,24.4,0.71,0.239672853,0.000607759,Stress,27.08333329960284,7,Heavy_Metal,Abiotic
Unraveling the effects of zinc sulfate nanoparticles and potassium fertilizers on quality of maize and associated health risks in Cd contaminated soils under different moisture regimes,7,2023,"Umair, M.",Pot,Zn,Foliar,Maize,20.0,class A,5.0,ClassA,grain yield/plant,Yield,3,26.4,0.9,3,34.5,1.03,0.267595314,0.000684505,Stress,30.681818196840883,7,Heavy_Metal,Abiotic
Unraveling the effects of zinc sulfate nanoparticles and potassium fertilizers on quality of maize and associated health risks in Cd contaminated soils under different moisture regimes,7,2023,"Umair, M.",Pot,Zn,Foliar,Maize,20.0,class A,5.0,ClassA,hundreds grams,Yield,3,19.9,0.8,3,25.5,0.81,0.24795872,0.000875039,Stress,28.140703461983364,7,Heavy_Metal,Abiotic
Unraveling the effects of zinc sulfate nanoparticles and potassium fertilizers on quality of maize and associated health risks in Cd contaminated soils under different moisture regimes,7,2023,"Umair, M.",Pot,Zn,Foliar,Maize,20.0,class A,5.0,ClassA,grain yield/plant,Yield,3,27.6,0.41,3,37.1,1.21,0.295801197,0.000428127,Stress,34.42028986982037,7,Heavy_Metal,Abiotic
Minimizing the Adversely Impacts of Water Deficit and Soil Salinity on Maize Growth and Productivity in Response to the Application of Plant Growth-Promoting Rhizobacteria and Silica Nanoparticles,8,2021,Hafez,Field,Si,Foliar,Maize,20.0,class A,500.0,ClassE,grains yield,Yield,3,5.794,0.03,3,5.9053,0.029,0.019027353,1.7e-05,Stress,1.920952667431508,8,Salt,Abiotic
Minimizing the Adversely Impacts of Water Deficit and Soil Salinity on Maize Growth and Productivity in Response to the Application of Plant Growth-Promoting Rhizobacteria and Silica Nanoparticles,8,2021,Hafez,Field,Si,Foliar,Maize,20.0,class A,500.0,ClassE,hundreds grams,Yield,3,35.0,0.3,3,37.9,0.5,0.079603051,8.25e-05,Stress,8.285714329140426,8,Salt,Abiotic
Minimizing the Adversely Impacts of Water Deficit and Soil Salinity on Maize Growth and Productivity in Response to the Application of Plant Growth-Promoting Rhizobacteria and Silica Nanoparticles,8,2021,Hafez,Field,Si,Foliar,Maize,20.0,class A,500.0,ClassE,grain yield/plant,Yield,10,44.12,0.423,10,45.13,0.365,0.022634019,1.57e-05,Stress,2.289211195667873,8,Salt,Abiotic
Minimizing the Adversely Impacts of Water Deficit and Soil Salinity on Maize Growth and Productivity in Response to the Application of Plant Growth-Promoting Rhizobacteria and Silica Nanoparticles,8,2021,Hafez,Field,Si,Foliar,Maize,20.0,class A,500.0,ClassE,grains yield,Yield,3,5.8654,0.036,3,6.1475,0.034,0.046974814,2.28e-05,Stress,4.809561141116214,8,Salt,Abiotic
Minimizing the Adversely Impacts of Water Deficit and Soil Salinity on Maize Growth and Productivity in Response to the Application of Plant Growth-Promoting Rhizobacteria and Silica Nanoparticles,8,2021,Hafez,Field,Si,Foliar,Maize,20.0,class A,500.0,ClassE,hundreds grams,Yield,3,36.5,0.4,3,39.8,0.3,0.086554652,5.9e-05,Stress,9.041095922911069,8,Salt,Abiotic
Minimizing the Adversely Impacts of Water Deficit and Soil Salinity on Maize Growth and Productivity in Response to the Application of Plant Growth-Promoting Rhizobacteria and Silica Nanoparticles,8,2021,Hafez,Field,Si,Foliar,Maize,20.0,class A,500.0,ClassE,grain yield/plant,Yield,10,44.51,0.498,10,45.06,0.478,0.012281052,2.38e-05,Stress,1.2356773782662867,8,Salt,Abiotic
"Integrated application of bacterial carbonate precipitation and silicon nanoparticles enhances productivity, physiological attributes, and antioxidant defenses of wheat (Triticum aestivum L.) under semi-arid conditions",9,2022,"Desoky, E",Pot,Si,Foliar,Wheat,30.0,class A,1.0,ClassA,thousands grams,Yield,3,36.8,3.637306696,3,37.6,3.845152793,0.021506205,0.006742462,Stress,2.1739130209015523,9,Drought,Abiotic
"Integrated application of bacterial carbonate precipitation and silicon nanoparticles enhances productivity, physiological attributes, and antioxidant defenses of wheat (Triticum aestivum L.) under semi-arid conditions",9,2022,"Desoky, E",Pot,Si,Foliar,Wheat,30.0,class A,1.5,ClassA,thousands grams,Yield,3,36.8,3.637306696,3,39.6,3.983716857,0.073331273,0.006629819,Stress,7.608695642968022,9,Drought,Abiotic
"Integrated application of bacterial carbonate precipitation and silicon nanoparticles enhances productivity, physiological attributes, and antioxidant defenses of wheat (Triticum aestivum L.) under semi-arid conditions",9,2022,"Desoky, E",Pot,Si,Foliar,Wheat,30.0,class A,1.0,ClassA,thousands grams,Yield,3,37.3,2.771281292,3,38.3,3.117691454,0.02645657,0.004048774,Stress,2.680965195011775,9,Drought,Abiotic
"Integrated application of bacterial carbonate precipitation and silicon nanoparticles enhances productivity, physiological attributes, and antioxidant defenses of wheat (Triticum aestivum L.) under semi-arid conditions",9,2022,"Desoky, E",Pot,Si,Foliar,Wheat,30.0,class A,1.5,ClassA,thousands grams,Yield,3,37.3,2.771281292,3,40.4,3.290896534,0.079836458,0.004051812,Stress,8.310991922733745,9,Drought,Abiotic
"Integrated application of bacterial carbonate precipitation and silicon nanoparticles enhances productivity, physiological attributes, and antioxidant defenses of wheat (Triticum aestivum L.) under semi-arid conditions",9,2022,"Desoky, E",Pot,Si,Foliar,Wheat,30.0,class A,1.0,ClassA,grain yield/plant,Yield,3,3.54,0.259807621,3,5.49,0.36373067,0.438801528,0.003258628,Stress,55.08474570443782,9,Drought,Abiotic
"Integrated application of bacterial carbonate precipitation and silicon nanoparticles enhances productivity, physiological attributes, and antioxidant defenses of wheat (Triticum aestivum L.) under semi-arid conditions",9,2022,"Desoky, E",Pot,Si,Foliar,Wheat,30.0,class A,1.5,ClassA,grain yield/plant,Yield,3,3.54,0.259807621,3,6.17,0.398371686,0.555572111,0.003185047,Stress,74.29378535054083,9,Drought,Abiotic
"Integrated application of bacterial carbonate precipitation and silicon nanoparticles enhances productivity, physiological attributes, and antioxidant defenses of wheat (Triticum aestivum L.) under semi-arid conditions",9,2022,"Desoky, E",Pot,Si,Foliar,Wheat,30.0,class A,1.0,ClassA,grain yield/plant,Yield,3,3.6,0.190525589,3,5.58,0.329089653,0.438254931,0.002093057,Stress,55.00000001067094,9,Drought,Abiotic
"Integrated application of bacterial carbonate precipitation and silicon nanoparticles enhances productivity, physiological attributes, and antioxidant defenses of wheat (Triticum aestivum L.) under semi-arid conditions",9,2022,"Desoky, E",Pot,Si,Foliar,Wheat,30.0,class A,1.5,ClassA,grain yield/plant,Yield,3,3.6,0.190525589,3,6.33,0.36373067,0.564366391,0.002034246,Stress,75.83333338713472,9,Drought,Abiotic
Transcriptomics and metabolomics reveal the mechanisms of enhanced constitutive resistance in rice by silica nanomaterials,10,2023,"Wang, Jing",Pot,Si,Foliar,Rice,8.0,class A,50.0,ClassC,hundreds grams,Yield,3,2.082807239,0.118371212,3,2.773305976,0.289351852,0.286323484,0.004705217,Stress,33.152311201561744,10,Inset,Biotic
Transcriptomics and metabolomics reveal the mechanisms of enhanced constitutive resistance in rice by silica nanomaterials,10,2023,"Wang, Jing",Pot,Si,Foliar,Rice,8.0,class A,50.0,ClassC,hundreds grams,Yield,3,2.066366793,0.131523569,3,2.770017887,0.046033249,0.293061885,0.001442484,Stress,34.052574630060285,10,Inset,Biotic
Transcriptomics and metabolomics reveal the mechanisms of enhanced constitutive resistance in rice by silica nanomaterials,10,2023,"Wang, Jing",Pot,Si,Foliar,Rice,8.0,class A,50.0,ClassC,hundreds grams,Yield,3,2.026909722,0.223590067,3,2.684527567,0.312368476,0.280992431,0.008569284,Stress,32.44435791838678,10,Inset,Biotic
Transcriptomics and metabolomics reveal the mechanisms of enhanced constitutive resistance in rice by silica nanomaterials,10,2023,"Wang, Jing",Pot,Si,Foliar,Rice,8.0,class A,50.0,ClassC,grain yield/plant,Yield,3,27.72479564,2.942779292,3,28.56948229,4.032697548,0.030011933,0.010396897,Stress,3.046683044083731,10,Inset,Biotic
Transcriptomics and metabolomics reveal the mechanisms of enhanced constitutive resistance in rice by silica nanomaterials,10,2023,"Wang, Jing",Pot,Si,Foliar,Rice,8.0,class A,50.0,ClassC,grain yield/plant,Yield,3,22.82016349,7.220708447,3,34.29155313,3.160762943,0.407254551,0.036205399,Stress,50.26865673502883,10,Inset,Biotic
Transcriptomics and metabolomics reveal the mechanisms of enhanced constitutive resistance in rice by silica nanomaterials,10,2023,"Wang, Jing",Pot,Si,Foliar,Rice,8.0,class A,50.0,ClassC,grain yield/plant,Yield,3,23.0653951,2.179836512,3,30.61307902,0.926430518,0.28309389,0.003282452,Stress,32.72297695704196,10,Inset,Biotic
Foliage application of selenium and silicon nanoparticles alleviates Cd and Pb toxicity in rice,11,2020,"Hussain, B",Field,Si,Foliar,Rice,12.0,class A,5.0,ClassA,grains yield,Yield,3,6.3263,0.077622616,3,6.329623394,0.060748134,0.000525192,8.09e-05,Stress,0.05253299374652354,11,Heavy_Metal,Abiotic
Foliage application of selenium and silicon nanoparticles alleviates Cd and Pb toxicity in rice,11,2020,"Hussain, B",Field,Si,Foliar,Rice,12.0,class A,10.0,ClassA,grains yield,Yield,3,6.3263,0.077622616,3,6.559546078,0.222743159,0.036205858,0.000434544,Stress,3.6869272357128002,11,Heavy_Metal,Abiotic
Foliage application of selenium and silicon nanoparticles alleviates Cd and Pb toxicity in rice,11,2020,"Hussain, B",Field,Si,Foliar,Rice,12.0,class A,20.0,Class B,grains yield,Yield,3,6.3263,0.077622616,3,7.915700212,0.114746476,0.224132609,0.000120228,Stress,25.12369337057978,11,Heavy_Metal,Abiotic
Foliage application of selenium and silicon nanoparticles alleviates Cd and Pb toxicity in rice,11,2020,"Hussain, B",Field,Se,Foliar,Rice,12.0,class A,5.0,ClassA,grains yield,Yield,3,6.3627,0.077622616,3,6.477709191,0.128246061,0.017914112,0.000180265,Stress,1.8075532163336128,11,Heavy_Metal,Abiotic
Foliage application of selenium and silicon nanoparticles alleviates Cd and Pb toxicity in rice,11,2020,"Hussain, B",Field,Se,Foliar,Rice,12.0,class A,10.0,ClassA,grains yield,Yield,3,6.3627,0.077622616,3,6.668661928,0.101246891,0.046966414,0.000126446,Stress,4.8086807445003155,11,Heavy_Metal,Abiotic
Foliage application of selenium and silicon nanoparticles alleviates Cd and Pb toxicity in rice,11,2020,"Hussain, B",Field,Se,Foliar,Rice,12.0,class A,20.0,Class B,grains yield,Yield,3,6.3627,0.077622616,3,6.454327223,0.4568908,0.014297978,0.001719938,Stress,1.4400682994913705,11,Heavy_Metal,Abiotic
"Effect of green-synthesized copper oxide nanoparticles on growth, physiology, nutrient uptake, and cadmium accumulation in aestivum",12,2023,Alhaithloul,Pot,Cu,Foliar,Wheat,8.0,class A,25.0,ClassB,grain yield/plant,Yield,3,5.571428571,0.485714286,3,6.228571429,0.471428571,0.111495504,0.004442982,Stress,11.794871769679682,12,Heavy_Metal,Abiotic
"Effect of green-synthesized copper oxide nanoparticles on growth, physiology, nutrient uptake, and cadmium accumulation in aestivum",12,2023,Alhaithloul,Pot,Cu,Foliar,Wheat,8.0,class A,50.0,ClassC,grain yield/plant,Yield,3,5.571428571,0.485714286,3,6.857142857,0.5,0.207639365,0.004305701,Stress,23.07692310421605,12,Heavy_Metal,Abiotic
"Effect of green-synthesized copper oxide nanoparticles on growth, physiology, nutrient uptake, and cadmium accumulation in aestivum",12,2023,Alhaithloul,Pot,Cu,Foliar,Wheat,8.0,class A,75.0,ClassC,grain yield/plant,Yield,3,5.571428571,0.485714286,3,7.542857143,0.471428571,0.302949545,0.003835504,Stress,35.38461544112907,12,Heavy_Metal,Abiotic
"Effect of green-synthesized copper oxide nanoparticles on growth, physiology, nutrient uptake, and cadmium accumulation in aestivum",12,2023,Alhaithloul,Pot,Cu,Foliar,Wheat,8.0,class A,100.0,ClassD,grain yield/plant,Yield,3,5.571428571,0.485714286,3,8.285714286,0.457142857,0.396881365,0.003548086,Stress,48.71794880468505,12,Heavy_Metal,Abiotic
Effect of titanium dioxide nanoparticles and co-composted biochar on growth and Cd uptake by wheat plants: A field study,12,2023,"Chen, Fu",Field,Ti,Foliar,Wheat,8.0,class A,75.0,ClassC,grains yield,Yield,4,3.493055556,0.111111111,4,4.076388889,0.131944444,0.15443465,0.000514877,Stress,16.6998012245436,12,Heavy_Metal,Abiotic
Effect of titanium dioxide nanoparticles and co-composted biochar on growth and Cd uptake by wheat plants: A field study,13,2023,"Chen, Fu",Field,Ti,Foliar,Wheat,8.0,class A,75.0,ClassC,hundreds grams,Yield,4,16.53213752,1.883408072,4,25.05979073,1.517189836,0.415958384,0.00416103,Stress,51.58227850769066,13,Heavy_Metal,Abiotic
